                     List of relations
  Schema  |           Name           |   Type   |  Owner   
----------+--------------------------+----------+----------
 public   | geography_columns        | view     | postgres
 public   | geometry_columns         | view     | postgres
 public   | products                 | table    | postgres
 public   | products_product_id_seq  | sequence | postgres
 public   | puzzles                  | table    | postgres
 public   | puzzles_id_seq           | sequence | postgres
 public   | solutions                | table    | postgres
 public   | solutions_id_seq         | sequence | postgres
 public   | spatial_ref_sys          | table    | postgres
 public   | tetrominoes              | table    | postgres
 public   | tetrominoes_id_seq       | sequence | postgres
 tiger    | addr                     | table    | postgres
 tiger    | addr_gid_seq             | sequence | postgres
 tiger    | addrfeat                 | table    | postgres
 tiger    | addrfeat_gid_seq         | sequence | postgres
 tiger    | bg                       | table    | postgres
 tiger    | bg_gid_seq               | sequence | postgres
 tiger    | county                   | table    | postgres
 tiger    | county_gid_seq           | sequence | postgres
 tiger    | county_lookup            | table    | postgres
 tiger    | countysub_lookup         | table    | postgres
 tiger    | cousub                   | table    | postgres
 tiger    | cousub_gid_seq           | sequence | postgres
 tiger    | direction_lookup         | table    | postgres
 tiger    | edges                    | table    | postgres
 tiger    | edges_gid_seq            | sequence | postgres
 tiger    | faces                    | table    | postgres
 tiger    | faces_gid_seq            | sequence | postgres
 tiger    | featnames                | table    | postgres
 tiger    | featnames_gid_seq        | sequence | postgres
 tiger    | geocode_settings         | table    | postgres
 tiger    | geocode_settings_default | table    | postgres
 tiger    | loader_lookuptables      | table    | postgres
 tiger    | loader_platform          | table    | postgres
 tiger    | loader_variables         | table    | postgres
 tiger    | pagc_gaz                 | table    | postgres
 tiger    | pagc_gaz_id_seq          | sequence | postgres
 tiger    | pagc_lex                 | table    | postgres
 tiger    | pagc_lex_id_seq          | sequence | postgres
 tiger    | pagc_rules               | table    | postgres
 tiger    | pagc_rules_id_seq        | sequence | postgres
 tiger    | place                    | table    | postgres
 tiger    | place_gid_seq            | sequence | postgres
 tiger    | place_lookup             | table    | postgres
 tiger    | secondary_unit_lookup    | table    | postgres
 tiger    | state                    | table    | postgres
 tiger    | state_gid_seq            | sequence | postgres
 tiger    | state_lookup             | table    | postgres
 tiger    | street_type_lookup       | table    | postgres
 tiger    | tabblock                 | table    | postgres
 tiger    | tabblock20               | table    | postgres
 tiger    | tabblock_gid_seq         | sequence | postgres
 tiger    | tract                    | table    | postgres
 tiger    | tract_gid_seq            | sequence | postgres
 tiger    | zcta5                    | table    | postgres
 tiger    | zcta5_gid_seq            | sequence | postgres
 tiger    | zip_lookup               | table    | postgres
 tiger    | zip_lookup_all           | table    | postgres
 tiger    | zip_lookup_base          | table    | postgres
 tiger    | zip_state                | table    | postgres
 tiger    | zip_state_loc            | table    | postgres
 topology | layer                    | table    | postgres
 topology | topology                 | table    | postgres
 topology | topology_id_seq          | sequence | postgres
(64 rows)

